第一章危害国家安全罪,,,,,,,,,,,,,,,
1,背叛国家罪,刑法第102条,分裂国家罪,,,,,,,,,,,,
2,分裂国家罪,刑法第103条第1款,背叛国家罪,,,,,,,,,,,,
3,煽动分裂国家罪,刑法第103条第2款,,,,,,,,,,,,,
4,武装叛乱、暴乱罪,刑法第104条,,,,,,,,,,,,,
5,颠覆国家政权罪,刑法第105条第1款,,,,,,,,,,,,,
6,煽动颠覆国家政权罪,刑法第105条第2款,,,,,,,,,,,,,
7,资助危害国家安全犯罪活动罪,刑法第107条,,,,,,,,,,,,,
8,投敌叛变罪,刑法第108条,,,,,,,,,,,,,
9,叛逃罪,刑法第109条,背叛国家罪,,,,,,,,,,,,
10,间谍罪,刑法第110条,叛逃罪,非法获取国家秘密罪,为境外窃取、剌探、收买、非法提供国家秘密、情报罪,,,,,,,,,,
11,为境外窃取、剌探、收买、非法提供国家秘密、情报罪,刑法第111条,间谍罪,非法获取国家秘密罪,故意泄露国家秘密罪,,,,,,,,,,
12,资敌罪,刑法第112条,故意泄露国家秘密罪,,,,,,,,,,,,
第二章危害公共安全罪,,,,,,,,,,,,,,,
13,放火,刑法第114条、第115条第1款,失火罪,,,,,,,,,,,,
14,决水罪,刑法第114条、第115条第1款,,,,,,,,,,,,,
15,爆炸,刑法第114条、第115条第1款,故意毁坏财物罪,破坏特定设备等罪,,,,,,,,,,,
16,投放危险物质,刑法第114条、第115条第1款,投放虚假危险物质罪,污染环境罪,,,,,,,,,,,
17,以危险方法危害公共安全,刑法第114条、第115条第1款,故意毁坏财物罪,故意杀人罪,故意伤害罪,,,,,,,,,,
18,失火,刑法第115条第2款,放火罪,,,,,,,,,,,,
19,过失决水罪,刑法第115条第2款,决水罪,,,,,,,,,,,,
20,过失爆炸罪,刑法第115条第2款,爆炸罪,,,,,,,,,,,,
21,过失投放危险物质,刑法第115条第2款,投放危险物质罪,,,,,,,,,,,,
22,过失以危险方法危害公共安全,刑法第115条第2款,以危险方法危害公共安全罪,,,,,,,,,,,,
23,破坏交通工具,刑法第116条、第119条第1款,故意毁坏财物罪,爆炸罪,放火罪,盗窃罪,,,,,,,,,
24,破坏交通设施,刑法第117条、第119条第1款,破坏交通工具罪,,,,,,,,,,,,
25,破坏电力设备罪,刑法第118条、第119条第1款,,,,,,,,,,,,,
26,破坏易燃易爆设备,刑法第118条、第119条第1款,,,,,,,,,,,,,
27,过失损坏交通工具罪,第119条第2款,,,,,,,,,,,,,
28,过失损坏交通设施罪,第119条第2款,,,,,,,,,,,,,
29,过失损坏电力设备罪,第119条第2款,,,,,,,,,,,,,
30,过失损坏易燃易爆设备罪,第119条第2款,,,,,,,,,,,,,
31,组织、领导、参加恐怖组织罪,刑法第120条,,,,,,,,,,,,,
32,帮助恐怖活动罪,刑法第120条之一,,,,,,,,,,,,,
33,准备实施恐怖活动罪,刑法第120条之二,,,,,,,,,,,,,
34,宣扬恐怖主义、极端主义、煽动实施恐怖活动罪,刑法第120条之三,,,,,,,,,,,,,
35,利用极端主义破坏法律实施罪,刑法第120条之四,,,,,,,,,,,,,
36,强制穿戴宣扬恐怖主义、极端主义服饰、标志罪,刑法第120条之五,,,,,,,,,,,,,
37,非法持有宣扬恐怖主义、极端主义物品罪,刑法第120条之六,,,,,,,,,,,,,
38,劫持航空器罪,刑法第121条,破坏交通工具罪,,,,,,,,,,,,
39,劫持[船只、汽车],刑法第122条,,,,,,,,,,,,,
40,暴力危及飞行安全罪,刑法第123条,,,,,,,,,,,,,
41,破坏[广播电视设施、公用电信设施],刑法第124条第1款,,,,,,,,,,,,,
42,过失损坏[广播电视设施、公用电信设施],刑法第124条第2款,,,,,,,,,,,,,
